plasmid_0;53-,202-,163+,204+,185+,27+
plasmid_1;43+,202-,163+,204+,185+,75+
plasmid_2;189+
plasmid_3;161+
plasmid_4;173+,201+,181+
plasmid_5;16+
plasmid_6;159+
plasmid_7;143+
plasmid_8;184+
plasmid_9;79-,198-,109+,200-,57+
plasmid_10;55+
plasmid_11;114+
plasmid_12;136+,199+,206+,5-
plasmid_13;35+
plasmid_14;185+
plasmid_15;202-,163+
plasmid_16;99+,163+,207+
plasmid_17;163+
plasmid_18;151+,199+,1-
plasmid_19;40-,199+,206+,63-
plasmid_20;89+,199+
plasmid_21;26-,199+
plasmid_22;139-,199+
plasmid_23;199+
plasmid_24;140-,200+,76+
plasmid_25;200+,154-
plasmid_26;200+
plasmid_27;36+,198+,130+
plasmid_28;129-,198+,44+
plasmid_29;179+,198+,188+
plasmid_30;152+,198+,125-
plasmid_31;198+
