plasmid_0;83+
plasmid_1;66+
plasmid_2;120+,63+,121+,107+,120+,57-,58+,93-,47+,118+,112-,87+,104-,119-,72-,102-,92-,111+,100-,117-,45-,88+,39+,98-,43+
plasmid_3;64+,75-,102-,92-,111+,100-,117-,31-,94+,110+
plasmid_4;32+
plasmid_5;60+,86+,49+,88-,76-,107-,130-,61-,120-,107-
plasmid_6;50+
plasmid_7;42+,129-
plasmid_8;93+,81+
plasmid_9;118+,113+,87+,103-,119-,34+,106-,115-,96+,48+,80-
plasmid_10;70+
plasmid_11;67+,94+,123-,120-,107-
plasmid_12;96-,114+,106+,85+,25-,105-,73+,134+,82-,7+,85+,77-,97+,98-,55+
plasmid_13;109+,20-,126-,73+,122+
plasmid_14;116-,4-,85+,36+,105-,73+,122+
plasmid_15;8+,84+,52+,108-,33-,126-,73+,122+
plasmid_16;80+,11-,125-,82+,134-,73-,105+
plasmid_17;125-,82+
plasmid_18;126-,73+
plasmid_19;78+,86+,19-
plasmid_20;86+
plasmid_21;62+,84-,9+,85+,22-
plasmid_22;106+,85+
plasmid_23;85+
plasmid_24;107+,120+,71+
plasmid_25;127+,79-,91-,38+,91+,30-,91+,68+
