plasmid_0;94+,28+,82-,121+,72+,123-,10-
plasmid_1;82-,121+,72+,96-,18+
plasmid_2;55+,84-,61+,84+,77-
plasmid_3;120-,122-,67+,99+,87+,117-,30+
plasmid_4;40+
plasmid_5;68+
plasmid_6;81-,97-,31+
plasmid_7;69+,122+,120+
plasmid_8;125+,93+,97+,112-,118+,43+
plasmid_9;66+
plasmid_10;75+
plasmid_11;56+
plasmid_12;42+,92-,50+,92-,22+
plasmid_13;78+
plasmid_14;86+,117-,35+
plasmid_15;124-,116+,91+,110+,119+,118+,70+,98+,115-,76+
plasmid_16;82+
plasmid_17;72+,123-,29-,84+
plasmid_18;72+,96-,7+
plasmid_19;72+,96-
plasmid_20;123+
plasmid_21;59+,92+,47-,92-
plasmid_22;1+,84+
plasmid_23;84+
