plasmid_0;59+,56-,68-,54+,68+
plasmid_1;34-,53+,37+,73+,67+
plasmid_2;41+
plasmid_3;61+,22-,55+,69-,5-,51+,33+,57+,9-,50+,38+
plasmid_4;45-,28+,52+,3+,55+,69-,21+
plasmid_5;48+,14+,55+,69-,20+,51-,15-
plasmid_6;53-,17-,51-,1+,55+,69-,26+
plasmid_7;73-,35+,55+,40+
plasmid_8;55+,69-
plasmid_9;48+,16+,52+,7+
plasmid_10;65-,2-,52+,31-,70+,51-,12-,66-
plasmid_11;52+
plasmid_12;46+,56+,25-,60-,72-,29+,60-
plasmid_13;56+,43+
plasmid_14;56+
plasmid_15;66-,10+,57+,11+,61-
plasmid_16;32+,57+
plasmid_17;67+,72+,60+
plasmid_18;23+
