#FILE	GENE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
ES-C-ST001-27APR15-0081K_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
NS-0079_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
ES-M-ST001-23NOV14-0060I_assembly.fasta	rep9b_3_repA(pMG2200)	100.00	plasmidfinder	AB374546	rep9b_3_repA(pMG2200)_AB374546
ES-M-ST001-23NOV14-0060I_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
ES-M-ST001-21JUL14-0029I_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
ES-M-ST001-21JUL14-0029I_assembly.fasta	rep9b_3_repA(pMG2200)	100.00	plasmidfinder	AB374546	rep9b_3_repA(pMG2200)_AB374546
ES-M-ST001-03MAR15-0067K_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
NS-1309_assembly.fasta	rep9a_1_repA(pAD1)	96.04	plasmidfinder	L01794	rep9a_1_repA(pAD1)_L01794
NS-1309_assembly.fasta	repUS43_1_CDS12738(DOp1)	99.92	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
NS-0841_assembly.fasta	repUS43_1_CDS12738(DOp1)	99.83	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
NS-0841_assembly.fasta	rep9b_3_repA(pMG2200)	100.00	plasmidfinder	AB374546	rep9b_3_repA(pMG2200)_AB374546
NS-0841_assembly.fasta	rep6_1_repA(pS86)	100.00	plasmidfinder	AJ223161	rep6_1_repA(pS86)_AJ223161
ES-V-FC099-23SEP14-0192A_assembly.fasta	repUS43_1_CDS12738(DOp1)	99.92	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
NS-1068_assembly.fasta	repUS11_rep(pTEF3)	97.21	plasmidfinder	AE016832	repUS11_rep(pTEF3)_AE016832
NS-1068_assembly.fasta	repUS11_rep(pTEF3)	95.62	plasmidfinder	AE016832	repUS11_rep(pTEF3)_AE016832
NS-1068_assembly.fasta	rep9a_1_repA(pAD1)	96.34	plasmidfinder	L01794	rep9a_1_repA(pAD1)_L01794
NS-1068_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
ES-C-ST001-17FEB15-0065D_assembly.fasta	repUS11_rep(pTEF3)	95.55	plasmidfinder	AE016832	repUS11_rep(pTEF3)_AE016832
ES-C-ST001-17FEB15-0065D_assembly.fasta	rep6_1_repA(pS86)	100.00	plasmidfinder	AJ223161	rep6_1_repA(pS86)_AJ223161
ES-C-ST001-17FEB15-0065D_assembly.fasta	rep8b_1_repA(pEJ97p1)	97.76	plasmidfinder	AJ49170	rep8b_1_repA(pEJ97p1)_AJ49170
NS-1464_assembly.fasta	rep9a_1_repA(pAD1)	93.77	plasmidfinder	L01794	rep9a_1_repA(pAD1)_L01794
BP-R5E-3_assembly.fasta	rep9a_1_repA(pAD1)	96.34	plasmidfinder	L01794	rep9a_1_repA(pAD1)_L01794
BP-R5E-3_assembly.fasta	repUS1_3_rep(pVEF1)	97.86	plasmidfinder	AM296544	repUS1_3_rep(pVEF1)_AM296544
BP-R5E-3_assembly.fasta	rep33_1_rep(pSMA198)	88.65	plasmidfinder	HE613570	rep33_1_rep(pSMA198)_HE613570
BP-R5E-3_assembly.fasta	rep33_1_rep(pSMA198)	80.80	plasmidfinder	HE613570	rep33_1_rep(pSMA198)_HE613570
BP-R5E-3_assembly.fasta	rep8b_1_repA(pEJ97p1)	97.46	plasmidfinder	AJ49170	rep8b_1_repA(pEJ97p1)_AJ49170
BP-R7-1_assembly.fasta	rep11b_1_repA(pEF1071)	99.59	plasmidfinder	AF164559	rep11b_1_repA(pEF1071)_AF164559
BP-R7-1_assembly.fasta	rep6_1_repA(pS86)	100.00	plasmidfinder	AJ223161	rep6_1_repA(pS86)_AJ223161
SS-0022_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
SS-0022_assembly.fasta	rep9b_2_prgW(EF62pC)	100.00	plasmidfinder	CP002494	rep9b_2_prgW(EF62pC)_CP002494
Ent-0276_assembly.fasta	repUS11_rep(pTEF3)	95.29	plasmidfinder	AE016832	repUS11_rep(pTEF3)_AE016832
Ent-0276_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
NS-0188_assembly.fasta	rep9b_3_repA(pMG2200)	100.00	plasmidfinder	AB374546	rep9b_3_repA(pMG2200)_AB374546
NS-0188_assembly.fasta	rep9a_1_repA(pAD1)	96.04	plasmidfinder	L01794	rep9a_1_repA(pAD1)_L01794
NS-0188_assembly.fasta	rep14a_1_CDS2(pEFNP1)	100.00	plasmidfinder	AB038522	rep14a_1_CDS2(pEFNP1)_AB038522
NS-0188_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
ES-C-ST001-17FEB15-0065A_assembly.fasta	rep9b_3_repA(pMG2200)	100.00	plasmidfinder	AB374546	rep9b_3_repA(pMG2200)_AB374546
ES-C-ST001-17FEB15-0065A_assembly.fasta	rep9a_1_repA(pAD1)	96.04	plasmidfinder	L01794	rep9a_1_repA(pAD1)_L01794
ES-C-ST001-17FEB15-0065A_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
ES-V-FC083-23SEP14-0190C_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
NS-1694_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
NS-1623_assembly.fasta	repUS11_rep(pTEF3)	95.48	plasmidfinder	AE016832	repUS11_rep(pTEF3)_AE016832
ES-A-FC606-20OCT14-0217I_assembly.fasta	repUS43_1_CDS12738(DOp1)	99.92	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
ES-A-FC606-20OCT14-0217I_assembly.fasta	rep1_2_repS(pSM19035)	99.93	plasmidfinder	AY357120	rep1_2_repS(pSM19035)_AY357120
NS-0108_assembly.fasta	rep2_1_orf1(pRE25)	100.00	plasmidfinder	X92945	rep2_1_orf1(pRE25)_X92945
BP-H96E-2_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
BP-H96E-2_assembly.fasta	repUS11_rep(pTEF3)	99.93	plasmidfinder	AE016832	repUS11_rep(pTEF3)_AE016832
BP-H96E-2_assembly.fasta	rep11c_2_repA(pJS33)	100.00	plasmidfinder	EU370687	rep11c_2_repA(pJS33)_EU370687
BP-H96E-2_assembly.fasta	repUS43_1_CDS12738(DOp1)	82.45	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
ES-S-FC404-20JUL15-0555J_assembly.fasta	repUS26_1_EFD32pB0001(EFD32pB)	98.21	plasmidfinder	CP003728	repUS26_1_EFD32pB0001(EFD32pB)_CP003728
ES-A-FC504-20OCT14-0213I_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
