plasmid_0;4-,63-,86+,57+,91-,10-
plasmid_1;11-,84-,63-,86+,57+,73+,14-,85-,65+,53-,50+
plasmid_2;92-,84-,63-,86+,57+,91-,18-
plasmid_3;41+
plasmid_4;20+,78+,83+,68-,79+,42-,56+,53-,39+
plasmid_5;51+
plasmid_6;35+
plasmid_7;58+
plasmid_8;27-,95+,69-,45+
plasmid_9;84-,63-,99+,57+,73+,5+
plasmid_10;63-,99+,57+,73+
plasmid_11;96-,31+,69+
plasmid_12;47-,69+,94+,7+
plasmid_13;17+,69+
plasmid_14;9+,69+,96-,26-
plasmid_15;22-,69+
plasmid_16;21+,69+,95-,48-,89-,90-,89-,81-,104-,103-,97-,87-,101-,100-,93-,87-,98-,104-,93-
plasmid_17;36-,69+
