plasmid_0;31-,136+,100-,131+,91+,107-,54-
plasmid_1;36+,100-,131+,91+,137-,50-,110+,70+,101-,10-
plasmid_2;76+,128+,105-,130-,134+,114+,68+,86+,89+
plasmid_3;52+
plasmid_4;57-,112+,82+,114+,68+
plasmid_5;113+,122-,132-,121-,109+,27-,112-,97+
plasmid_6;56-,103+,37+,119+,109-,121+
plasmid_7;114+,139+,45+,119+,109-,121+
plasmid_8;83+
plasmid_9;98+
plasmid_10;114+,139+,129-,96+
plasmid_11;81+
plasmid_12;88+
plasmid_13;84+
plasmid_14;116+,102+,135-,75+
plasmid_15;61+,104+,58+
plasmid_16;94+,125+,99+,17+
plasmid_17;94+,125+,99+
plasmid_18;100+,136-
plasmid_19;100+
plasmid_20;140-,91+,137-,95-
plasmid_21;91+,107-,2-
plasmid_22;91+,107-
plasmid_23;6+,103+,66+
plasmid_24;32+,103+,43+
plasmid_25;103+
plasmid_26;71-,104+,73+
plasmid_27;112+
plasmid_28;114+,139+,129-
