plasmid_0;64+,22+,55-,91+,50-,94-,5+
plasmid_1;55-,91+,50-,66-,24-,85-,14+
plasmid_2;55-,91+,50-,94-,9+
plasmid_3;47+
plasmid_4;42+,20+,67-,69+,93+,88+,60+
plasmid_5;48+
plasmid_6;44+
plasmid_7;25+,63-,19-
plasmid_8;92-,45+,92+,75+,78+,26+,93+,88+,60+
plasmid_9;75+,51+,57-,40+,68-
plasmid_10;30+,59+,34+,59+,15-,59-,32-,59+
plasmid_11;61+,58-,49+,63+,54+
plasmid_12;55+
plasmid_13;6-,66+,50+
plasmid_14;66+,50+
plasmid_15;94+,50+
plasmid_16;94+
plasmid_17;11+,57+,21+
plasmid_18;57+,8+
plasmid_19;57+
plasmid_20;78+
