plasmid_0;107+,159-,5-
plasmid_1;93+
plasmid_2;105+
plasmid_3;118+,164-,153+,94-,131-,110+,209-,196-,194+,222+,158+,197-,221-,207-,92-,150+,115-,114-,87-
plasmid_4;88-,163+,218+,211+,80+,134-,170+,177-,181+,206-,159+,33+,171+
plasmid_5;138-,177+,126+,134-,210+,164-,190+,218-,163-
plasmid_6;106-,185-,39+,200+,176+,208-,183+,201+
plasmid_7;82+,167+,160+,98+,165+
plasmid_8;223+,142-,150+,205-,216+,202+,223+,109+
plasmid_9;145+
plasmid_10;135+
plasmid_11;90+,185+,157+,162+,132-,125+,207+,221+,220+,203+,158-,222-,195-,196+,209+,180-
plasmid_12;101+
plasmid_13;168+
plasmid_14;201-,184-,208+,175-,200-,156-,117+,178+,169+,191-,174+,123+,149-,172+
plasmid_15;24+,159+,18+
plasmid_16;9+,159+,84+
plasmid_17;51+,159+,70+
plasmid_18;159+,95-
plasmid_19;159+,76+
plasmid_20;159+,217+
plasmid_21;48+,160+,158+,203-,214-,207-,125-,187-,216+,202+,223+
plasmid_22;196-,195+,222+,158+,203-,214-,207-
plasmid_23;160+,158+
plasmid_24;164+,210-
plasmid_25;66+,131+,204+
plasmid_26;160+
plasmid_27;103-,117+,179+
plasmid_28;177+
plasmid_29;131+
plasmid_30;150+
