plasmid_0;13-,78-,57+,82+,51-,96-,31+,59-,45-
plasmid_1;78-,57+,82+,51-,66+,24+,102-,63-,56-,75+
plasmid_2;44+
plasmid_3;52+,59-,25-,34-
plasmid_4;22+
plasmid_5;14+,103+,63+,101+,30+,104+,63-,99-,32-,63-,100+,20+
plasmid_6;76-,23-,57+,106+,51-,96-,16-,85+
plasmid_7;57+,106+,51-,66+,12-,80+,92+,77-,80+,107+,105+,77-
plasmid_8;57+,106+,51-,96-
plasmid_9;18-,58-,29+,104+,63-,100+,38-,59+,27-
plasmid_10;50+,59+
plasmid_11;53+,59+
plasmid_12;59+
plasmid_13;5+,103+,63+,101+,2+,58-,9-,95-
plasmid_14;63+,101+,19+
plasmid_15;63+
