NC_005248	NC_005248.1	NC_005248.1	Escherichia coli plasmid pIGAL1, complete sequence
NC_019060	NC_019060.1	NC_019060.1	Escherichia coli plasmid pQ1-1, complete sequence
NC_011511	NC_011511.1	NC_011511.1	Klebsiella pneumoniae plasmid p169, complete sequence
NC_011513	NC_011513.1	NC_011513.1	Proteus mirabilis plasmid pRPCMY, complete sequence
NC_016137	NC_016137.1	NC_016137.1	Staphylococcus hyicus plasmid unnamed, complete sequence
NC_008439	NC_008439.1	NC_008439.1	Shigella sonnei plasmid pKKTET7, complete sequence
NC_010072	NC_010072.1	NC_010072.1	Yersinia pestis plasmid pIP1203, aph(3'')-Ib gene and aph(6)-Id gene for aminoglycoside phosphotransferases, APH(3'')-Ib and APH(6)-Id
NC_008352	NC_008352.1	NC_008352.1	Staphylococcus chromogenes pLNU8 plasmid
NC_025014	NC_025014.1	NC_025014.1	Escherichia coli F plasmid traD gene
NC_025157	NC_025157.1	NC_025157.1	Origin of replication of plasmid colE1 and immunity region
NC_025195	NC_025195.1	NC_025195.1	Staphylococcus aureus plasmid pSH6 DNA for insertion sequences IS257-1 and IS256
NC_010896	NC_010896.1	NC_010896.1	Salmonella typhimurium plasmid pAnkS, complete sequence
NC_022376	NC_022376.1	NC_022376.1	Salmonella enterica subsp. enterica serovar Derby str. T12 plasmid pST12 DNA, complete genome
NG_047055	NG_047055.1	NG_047055.1	Staphylococcus aureus SK18 pSK1 gene for bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia, complete CDS
NG_047212	NG_047212.1	NG_047212.1	Staphylococcus warneri pGTK3 gene for bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia, complete CDS
NG_047217	NG_047217.1	NG_047217.1	Macrococcus caseolyticus JCSC5402 pMCCL2 gene for bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia, complete CDS
NG_047237	NG_047237.1	NG_047237.1	Pseudomonas aeruginosa Ps142 Rms149 aac(3)-I gene for AAC(3)-I family aminoglycoside 3-N-acetyltransferase, complete CDS
NG_047282	NG_047282.1	NG_047282.1	Serratia marcescens 11663 p11663 aac(6')-Ian gene for aminoglycoside N-acetyltransferase AAC(6')-Ian, complete CDS
NG_047286	NG_047286.1	NG_047286.1	Klebsiella pneumoniae pJHC-MW1 aac(6')-Ib gene for AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase, complete CDS
NG_047288	NG_047288.1	NG_047288.1	Klebsiella pneumoniae p22K9 aac(6')-Ib gene for AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase, complete CDS
NG_047289	NG_047289.1	NG_047289.1	Klebsiella pneumoniae pJHCMW1 aac(6')-Ib gene for AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase, complete CDS
NG_047291	NG_047291.1	NG_047291.1	Klebsiella pneumoniae BM4686 pIP849 aac(6')-Ib gene for AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase, complete CDS
NG_047303	NG_047303.1	NG_047303.1	[Enterobacter] aerogenes pBWH301 aac(6')-Il gene for aminoglycoside N-acetyltransferase AAC(6')-Il, complete CDS
