plasmid_0;464+,461+,475+,481-,465-
plasmid_1;237+
plasmid_2;347+
plasmid_3;243+,407-,115-
plasmid_4;182+
plasmid_5;162+
plasmid_6;341+
plasmid_7;221+
plasmid_8;274+
plasmid_9;77+
plasmid_10;89+
plasmid_11;361+
plasmid_12;335+
plasmid_13;73+
plasmid_14;136+
plasmid_15;315+
plasmid_16;291+
plasmid_17;308+
plasmid_18;317+
plasmid_19;107+
plasmid_20;336+
plasmid_21;105+
plasmid_22;69+
plasmid_23;96+
plasmid_24;342+
plasmid_25;92+
plasmid_26;379+
plasmid_27;225-,458+,480+,142+
plasmid_28;393+
plasmid_29;113+
plasmid_30;82+
plasmid_31;62+
plasmid_32;246+,482+,459+,467-
plasmid_33;90+
plasmid_34;42+
plasmid_35;45+
plasmid_36;241+
plasmid_37;253+
plasmid_38;252+
plasmid_39;300+
plasmid_40;102+
plasmid_41;204+
plasmid_42;249+
plasmid_43;57+
plasmid_44;302+
plasmid_45;63+
plasmid_46;80+
plasmid_47;75+
plasmid_48;223+
plasmid_49;279+
plasmid_50;183+
plasmid_51;198+
plasmid_52;150+
plasmid_53;330+
plasmid_54;267+
plasmid_55;193+
plasmid_56;50+,462-
plasmid_57;345+
plasmid_58;192+
plasmid_59;310+
plasmid_60;295+
plasmid_61;53+
plasmid_62;371+
plasmid_63;304+
plasmid_64;51+
plasmid_65;171+
plasmid_66;311+
plasmid_67;19-,456-,78-,456-,386+
plasmid_68;131+
plasmid_69;219+
plasmid_70;165+
plasmid_71;324+
plasmid_72;303+
plasmid_73;186+
plasmid_74;387+
plasmid_75;314+
plasmid_76;100+
plasmid_77;202+
plasmid_78;108+
plasmid_79;191+
plasmid_80;154+
plasmid_81;359+
plasmid_82;157+
plasmid_83;222+
plasmid_84;229+
plasmid_85;174+
plasmid_86;394+
plasmid_87;235+
plasmid_88;210+
plasmid_89;334+
plasmid_90;47+
plasmid_91;234+
plasmid_92;383+
plasmid_93;117+
plasmid_94;257+
plasmid_95;259+
plasmid_96;166+
plasmid_97;54+
plasmid_98;104+
plasmid_99;430+
plasmid_100;172+
plasmid_101;452+
plasmid_102;70+
plasmid_103;76+
plasmid_104;56+
plasmid_105;350+
plasmid_106;220+
plasmid_107;199+
plasmid_108;67+
plasmid_109;329+
plasmid_110;203+
plasmid_111;248+
plasmid_112;282+
plasmid_113;316+
plasmid_114;413+
plasmid_115;408+
plasmid_116;143+
plasmid_117;254+
plasmid_118;284+
plasmid_119;158+
plasmid_120;133+
plasmid_121;418+
plasmid_122;299+,458+,138+
plasmid_123;178+
plasmid_124;349+
plasmid_125;116+
plasmid_126;212+
plasmid_127;149+
plasmid_128;111+
plasmid_129;289+
plasmid_130;173+
plasmid_131;365+
plasmid_132;374+
plasmid_133;163+
plasmid_134;87+
plasmid_135;156+
plasmid_136;256+
plasmid_137;151+
plasmid_138;260+
plasmid_139;126+
plasmid_140;332+
plasmid_141;391+
plasmid_142;94+
plasmid_143;200+
plasmid_144;312+
plasmid_145;429+
plasmid_146;321+
plasmid_147;119+
plasmid_148;269+
plasmid_149;213+
plasmid_150;155+
plasmid_151;224+
plasmid_152;250+
plasmid_153;120+
plasmid_154;453+
plasmid_155;135+
plasmid_156;103+
plasmid_157;326+
plasmid_158;91+
plasmid_159;176+
plasmid_160;167+
plasmid_161;448+
plasmid_162;139+
plasmid_163;245+
plasmid_164;152+
plasmid_165;184+
plasmid_166;214+
plasmid_167;319+
plasmid_168;286+
plasmid_169;127+
plasmid_170;215+
plasmid_171;84+
plasmid_172;424+
plasmid_173;273+
plasmid_174;129+
plasmid_175;296+
plasmid_176;412+
plasmid_177;205+
plasmid_178;247+
plasmid_179;431+
plasmid_180;66+
plasmid_181;175+
plasmid_182;218+
plasmid_183;287+
plasmid_184;124+
plasmid_185;435+
plasmid_186;130+
plasmid_187;74+
plasmid_188;356+
plasmid_189;95+
plasmid_190;48+
plasmid_191;97+
plasmid_192;382+
plasmid_193;189+
plasmid_194;358+
plasmid_195;98+
plasmid_196;338+
plasmid_197;242+
plasmid_198;337+
plasmid_199;209+
plasmid_200;263+
plasmid_201;106+
plasmid_202;208+
plasmid_203;370+
plasmid_204;399+
plasmid_205;168+
plasmid_206;160+
plasmid_207;411+
plasmid_208;153+
plasmid_209;322+
plasmid_210;240+
plasmid_211;333+
plasmid_212;433+
plasmid_213;101+
plasmid_214;368+
plasmid_215;434+
plasmid_216;122+
plasmid_217;123+
plasmid_218;137+
plasmid_219;121+
plasmid_220;206+
plasmid_221;79+
plasmid_222;118+
plasmid_223;340+
plasmid_224;389+
plasmid_225;305+
plasmid_226;261+
plasmid_227;297+
plasmid_228;40+
plasmid_229;445+
plasmid_230;238+
plasmid_231;251+
plasmid_232;271+
plasmid_233;181+
plasmid_234;161+
plasmid_235;364+
plasmid_236;140+
plasmid_237;236+
plasmid_238;146+
plasmid_239;144+
plasmid_240;294+
plasmid_241;266+
plasmid_242;306+
