plasmid_0;150-,95+,134+,103+,31+,115+
plasmid_1;147+,120+,138+,75+,132+,127-,132+,126+,118+,125+
plasmid_2;77+
plasmid_3;99+,119-,131-,121-
plasmid_4;64+
plasmid_5;41-,112+,94+
plasmid_6;87+,120-,147-
plasmid_7;83+
plasmid_8;107+
plasmid_9;124+,57+,120-,148-
plasmid_10;39+
plasmid_11;143-,140+,122+,66+,116+
plasmid_12;68-,32-,135+,125+,146-,142+,150-
plasmid_13;33-,117+,48+,135+,125+
plasmid_14;135+,125+,146-,142+,150-
plasmid_15;144+,140+,122+,13+,118+
plasmid_16;118+
plasmid_17;103+
plasmid_18;9+,113+,71-,112-
plasmid_19;100-,8+,113+,81-,110+
plasmid_20;55-,113+
plasmid_21;113+
plasmid_22;112+
plasmid_23;148+,120+,6+
plasmid_24;148+,120+,139+,60-
plasmid_25;148+,120+
plasmid_26;121+,131+,119+,67+,108+
