plasmid_0;10-,101-,76-,130+,90-,19+
plasmid_1;15-,131-,76-,130+,90-
plasmid_2;26-,101-,76-,130+,90-
plasmid_3;79+
plasmid_4;11+,95-,59+,86+,52+
plasmid_5;57+,106-,73-,111+,30+
plasmid_6;123-,114+,124-,112+,103+,54+,71+,128+,99+,75-,68+,126+,104+,97-,86-,91+
plasmid_7;62+
plasmid_8;92+
plasmid_9;53+
plasmid_10;110+,127-,121+,100-,48+,129+,107+,102+,66-
plasmid_11;63+
plasmid_12;74+
plasmid_13;55+,64+,118+,105+,109+,127-,122+
plasmid_14;72+,106+,120-,129+,108+,102+
plasmid_15;25-,96-,49+,96-,42-
plasmid_16;84+
plasmid_17;85+
plasmid_18;37+
plasmid_19;90+
plasmid_20;76+,131+,24-
plasmid_21;76+,101+
plasmid_22;76+,131+
plasmid_23;89-,95+
plasmid_24;95+
plasmid_25;96-,46+,96+,36+
plasmid_26;51-,104-,116+,64+,119+,105+,109+,127-,122+
plasmid_27;104+
