pIL105p6	91	92.537	335	25	0	1	335	618	952	2.58e-136	481
pIL105p6	91	86.851	289	36	1	384	672	950	1236	1.65e-88	322
HKK27_RS00055	5	99.145	117	1	0	1	117	94697	94581	5.55e-56	211
HKK27_RS00060	5	94.167	1920	112	0	1	1920	94565	92646	0.0	2926
HKK27_RS00075	5	84.100	239	38	0	1	239	92057	92295	9.57e-62	231
HS157_RS00005	96	99.479	960	5	0	1	960	97	1056	0.0	1746
HS157_RS00125	91	86.851	289	36	2	384	672	950	1236	1.70e-88	322
HS157_RS00145	91	86.607	336	43	2	1	335	618	952	5.83e-103	370
HS157_RS00145	91	83.860	285	44	1	389	673	954	1236	6.08e-73	270
HS157_RS00215	91	86.851	289	36	1	384	672	950	1236	1.65e-88	322
HS358_RS00025	91	86.567	335	45	0	1	335	618	952	5.82e-103	370
HS358_RS00025	91	86.957	299	35	3	384	681	950	1245	7.64e-92	333
HS358_RS00035	91	85.333	300	41	2	1	299	657	954	4.58e-84	307
HS358_RS00090	104	99.474	380	2	0	1	380	380	1	0.0	691
HS358_RS00090	126	100.000	121	0	0	381	501	178	58	3.49e-59	224
HS358_RS00090	116	97.479	119	3	0	383	501	3	121	4.55e-53	204
HS358_RS00140	91	86.851	289	36	1	384	672	950	1236	1.65e-88	322
HS358_RS00160	91	90.476	336	32	0	1	336	618	953	3.38e-125	444
HS358_RS00160	91	93.515	293	17	1	380	672	946	1236	2.04e-122	435
HS358_RS00200	104	96.786	529	17	0	32	560	529	1	0.0	883
HS358_RS00200	91	86.310	336	46	0	1	336	618	953	7.53e-102	366
HS358_RS00200	126	99.174	121	1	0	561	681	178	58	2.23e-57	219
HS358_RS00200	116	98.319	119	2	0	563	681	3	121	1.34e-54	209
HS358_RS00200	51	100.000	31	0	0	1	31	31	1	5.15e-09	58.4
HS358_RS00200	97	100.000	29	0	0	2	30	983	1011	6.66e-08	54.7
HS358_RS00350	91	96.429	224	8	0	1	224	1002	1225	1.89e-103	370
pSA1379_12	68	77.029	579	125	7	1	576	2858	2285	1.11e-89	326
HKK39_RS00055	104	99.811	529	1	0	32	560	529	1	0.0	972
HKK39_RS00055	116	100.000	47	0	0	561	607	1	47	6.18e-18	87.9
HKK39_RS00055	51	100.000	31	0	0	1	31	31	1	4.84e-09	58.4
