plasmid_0;16-,75+,57+,95+,65+,25+,73-
plasmid_1;3-,97-,57+,95+,65+
plasmid_2;6-,75+,57+,95+,65+
plasmid_3;54+
plasmid_4;86-,92-,79-,93-,32+,59-,45+
plasmid_5;73-,44+,67+,49+,67-,40-
plasmid_6;51+
plasmid_7;33+,59-,58+
plasmid_8;83-,84-,90+,94+,98+,62+,69-,35+
plasmid_9;83-,84-,90+,94+,36+
plasmid_10;31+,74-,96-,71+
plasmid_11;61+
plasmid_12;52+
plasmid_13;13+,72+,38+,72+,19+
plasmid_14;64+
plasmid_15;65+
plasmid_16;67+,26+,97-,57+
plasmid_17;75+,57+
plasmid_18;97-,57+
plasmid_19;53+,72+,55+
plasmid_20;67+,21-,88-
plasmid_21;67+
