plasmid_0;42+
plasmid_1;48+,62-,36-
plasmid_2;80-,68-,82+,63+,80-,51+
plasmid_3;38-,62-,52+
plasmid_4;39+,76-,64+,21-,78+,64+,74-,43+
plasmid_5;54+
plasmid_6;26+,72-,58+,71+
plasmid_7;66-,49+,35-,65-,58+,71+
plasmid_8;56+,72-,58+,71+
plasmid_9;5-,65-,58+,87-,61-,20+
plasmid_10;65-,58+
plasmid_11;61+
plasmid_12;12+,83-,63+,79+,24-
plasmid_13;63+,79+,31-
plasmid_14;63+,79+,28+
plasmid_15;63+,79+,47-
plasmid_16;63+,81-,14-
plasmid_17;63+,79+,30+,63-
plasmid_18;63+,81-,16+,75-,64-,7+,59-
plasmid_19;63+,79+,1+
plasmid_20;63+
plasmid_21;18+,77-,64+,75+,9+
plasmid_22;44-,77-,64+,74-,55+
plasmid_23;6-,77-,64+
plasmid_24;64+
