plasmid_0;113+,20+,131-,45+,127+,55-,6+,95+
plasmid_1;15-,73-,23-,131-,45+,127+,55-,115+,16+
plasmid_2;40-,116+,99-,116+,91+,74+,45+,152-,55-
plasmid_3;106-,70+,87-,105+,77-,101+,81-,62-,67-,117-,85+,69+,96-,58+,18-,104+,100+,129-,111+,76+,64-,118-,150-,52+,60+,61-
plasmid_4;32+,69-,103-,119+,117+,68-,62+,82+,101-,78+,105-,88+,70-,107-
plasmid_5;145+,79+,138-,22-,63-,43+
plasmid_6;71-,109+,49+,150+,118+,64+,75+,111-,129+,102-,104-,31+,58-,56-,119+,117+,68-,62+,82+,101-,78+,105-,88+,70-,107-
plasmid_7;34+,60+,125+,109-
plasmid_8;37+
plasmid_9;95-,140+,17+,57+,5+,57+,4+,63-,51+,138+,79-,145-
plasmid_10;122+,54+,121-,93-,72+,112+,144+,36+,89-,114-
plasmid_11;26+
plasmid_12;101-,78+
plasmid_13;42+,133+,66-,27+,65-,44-,139+,95+
plasmid_14;145+,79+,138-,29+,139+,95+
plasmid_15;55+
plasmid_16;131-,45+
plasmid_17;11+,74+
plasmid_18;129-,111+
plasmid_19;13-,148-,66+,141-,35-,120+,86-,120-,80+,138+,79-,147-
plasmid_20;28+,148-,66+,141-,12-,79-,147-
plasmid_21;148-,66+
plasmid_22;92-,72+,110+,47+
plasmid_23;151+,47+
plasmid_24;147+,79+,136+,24-
plasmid_25;147+,79+,135+,7+,59-,39-
plasmid_26;147+,79+,138-,25+
plasmid_27;147+,79+,136+
plasmid_28;58+
