Supplementary Data 5. Plasmid metadata,,,,,,,,,,,,,,,,,,,,,
AccessionVersion,SourceDB,MoleculeType,SeqName,Size,Topology,UpdateDate,Title,TaxId,TaxName,TaxSuperkingdom,TaxPhylum,TaxClass,TaxOrder,TaxFamily,TaxGenus,TaxSpecies,MOB(1),PFinder_80 (2),PFinder_95 (3),Filtered (4),
NC_006130.1,refseq,Plasmid,pDN571,3351,circular,16-DEC-2014,"Streptococcus pyogenes 71-724 plasmid pDN571, complete sequence",1314,Streptococcus pyogenes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,-,-,-,No,(1) Relaxase MOB family determined by MOBscan.
NC_004464.2,refseq,Plasmid,pCTX-M3,89468,circular,16-DEC-2014,"Citrobacter freundii plasmid pCTX-M3, complete sequence",546,Citrobacter freundii,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter freundii,MOBP,IncL/M,IncL/M,No,(2) Replicon typing determined by PlasmidFinder at 80% identity and 60% coverage.
NC_006427.1,refseq,Plasmid,pJB01,2235,circular,16-DEC-2014,"Enterococcus faecium plasmid pJB01, complete sequence",1352,Enterococcus faecium,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,-,-,-,No,(3) Replicon typing determined by PlasmidFinder at 95% identity and 60% coverage.
NC_001370.1,refseq,Plasmid,pC30il,2140,linear,16-DEC-2014,"Lactobacillus plantarum plasmid pC30il, complete sequence",1590,Lactobacillus plantarum,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus plantarum,-,-,-,No,(4) Yes means plasmid removed from the database
NC_002810.1,refseq,Plasmid,pLM7,5658,circular,16-DEC-2014,"Streptococcus mutans LM7 plasmid pLM7, complete sequence",1309,Streptococcus mutans,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,MOBC,-,-,No,
NC_004965.1,refseq,Plasmid,pRm1132f,7212,circular,16-DEC-2014,"Sinorhizobium meliloti plasmid pRm1132f, complete sequence",382,Sinorhizobium meliloti,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium meliloti,MOBV,-,-,No,
NC_000906.2,refseq,Plasmid,pIL105,8506,circular,16-DEC-2014,"Lactococcus lactis IL964 plasmid pIL105, complete sequence",1358,Lactococcus lactis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis,-,-,-,No,
NC_005010.1,refseq,Plasmid,pEF1071,9328,circular,16-DEC-2014,"Enterococcus faecalis BFE 1071 plasmid pEF1071, complete sequence",1351,Enterococcus faecalis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,MOBP,rep11,rep11,No,
NC_004562.1,refseq,Plasmid,pNVH01,2650,circular,16-DEC-2014,"Staphylococcus aureus plasmid pNVH01, complete sequence",1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,-,rep21,rep21,No,
NC_002637.1,refseq,Plasmid,pMHSCS1,4992,circular,16-DEC-2014,"Mannheimia haemolytica R122 plasmid pMHSCS1, complete sequence",75985,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia haemolytica,MOBP,-,-,No,
NC_005565.1,refseq,Plasmid,pSN2,1288,circular,16-DEC-2014,"Staphylococcus aureus plasmid pSN2, complete sequence",1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,-,rep10,rep10,No,
NC_006976.1,refseq,Plasmid,pCCK3259,5317,circular,16-DEC-2014,"Mannheimia haemolytica 3259 plasmid pCCK3259, complete sequence",75985,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia haemolytica,MOBP,-,-,No,
NC_002092.1,refseq,Plasmid,pXF868,1296,circular,16-DEC-2014,"Xylella fastidiosa plasmid pXF868, complete sequence",2371,Xylella fastidiosa,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xylella,Xylella fastidiosa,-,-,-,No,
NC_002130.1,refseq,Plasmid,pCFC2,5609,circular,16-DEC-2014,"Riemerella anatipestifer plasmid pCFC2, complete sequence",34085,Riemerella anatipestifer,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Riemerella,Riemerella anatipestifer,-,-,-,No,
NC_006997.1,refseq,Plasmid,pMG1,3682,circular,16-DEC-2014,"Bifidobacterium longum plasmid pMG1, complete sequence",216816,Bifidobacterium longum,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,MOBQ,-,-,No,
NC_005923.1,refseq,Plasmid,pFL129,6464,circular,16-DEC-2014,"Escherichia coli plasmid pFL129, complete sequence",562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,-,IncX2,IncX2,No,
NC_005324.1,refseq,Plasmid,p9123,6222,circular,16-DEC-2014,"Escherichia coli plasmid p9123, complete sequence",562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,-,-,-,No,
NC_004958.1,refseq,Plasmid,pSMQ172,4230,circular,16-DEC-2014,"Streptococcus thermophilus plasmid pSMQ172, complete sequence",1308,Streptococcus thermophilus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,MOBV,-,-,No,
NC_006994.1,refseq,Plasmid,pCCK381,10874,circular,16-DEC-2014,"Pasteurella multocida 381 plasmid pCCK381, complete sequence",747,Pasteurella multocida,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Pasteurella multocida,MOBQ;MOBV,IncQ1,-,No,
NC_002487.1,refseq,Plasmid,pCol-let,5847,circular,16-DEC-2014,"Escherichia coli plasmid pCol-let, complete sequence",562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,-,ColRNAI,-,No,
NC_004652.1,refseq,Plasmid,pS7a,7302,circular,16-DEC-2014,"Lactococcus lactis subsp. lactis bv. diacetylactis plasmid pS7a, complete sequence",44688,Lactococcus lactis subsp. lactis bv. diacetylactis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis,-,-,-,No,
NC_002119.1,refseq,Plasmid,CloDF13,9957,circular,16-DEC-2014,"Escherichia coli K-12 P678-54 plasmid CloDF13, complete sequence",562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,-,ColRNAI,ColRNAI,No,
NC_001537.1,refseq,Plasmid,pECO29,3895,circular,16-DEC-2014,"Escherichia coli 29k plasmid pECO29, complete sequence",562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,-,ColRNAI,-,No,
NC_004944.1,refseq,Plasmid,pMD5057,10877,circular,16-DEC-2014,"Lactobacillus plantarum 5057 plasmid pMD5057, complete sequence",1590,Lactobacillus plantarum,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus plantarum,-,-,-,No,
NC_005098.1,refseq,Plasmid,pt38,2911,circular,16-DEC-2014,"Streptococcus thermophilus 2783 plasmid pt38, complete sequence",1308,Streptococcus thermophilus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,-,-,-,No,
NC_005322.1,refseq,Plasmid,pSMQ308,8144,circular,16-DEC-2014,"Streptococcus thermophilus plasmid pSMQ308, complete sequence",1308,Streptococcus thermophilus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,-,-,-,No,
NC_006278.1,refseq,Plasmid,p256,7222,circular,16-DEC-2014,"Lactobacillus plantarum NC7 plasmid p256, complete sequence",1590,Lactobacillus plantarum,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus plantarum,-,-,-,No,
NC_002145.1,refseq,Plasmid,pKL1,1549,circular,16-DEC-2014,"Escherichia coli KL4 plasmid pKL1, complete sequence",562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,-,Col(MG828),-,No,
NC_005019.1,refseq,Plasmid,pLG13,6293,circular,16-DEC-2014,"Escherichia coli LG74 plasmid pLG13, complete sequence",562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,MOBP,ColRNAI,-,No,
NC_000937.1,refseq,Plasmid,pER35,9531,circular,16-DEC-2014,"Streptococcus thermophilus ST135 plasmid pER35, complete sequence",1308,Streptococcus thermophilus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,-,-,-,No,
NC_000938.1,refseq,Plasmid,pER36,3498,circular,16-DEC-2014,"Streptococcus thermophilus ST136 plasmid pER36, complete sequence",1308,Streptococcus thermophilus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,-,-,-,No,
NC_001949.1,refseq,Plasmid,pMRC01,60232,circular,16-DEC-2014,"Lactococcus lactis DPC3147 plasmid pMRC01, complete sequence",1358,Lactococcus lactis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis,MOBQ,-,-,No,
NC_004960.1,refseq,Plasmid,pSRQ800,7858,circular,16-DEC-2014,"Lactococcus lactis W-1 plasmid pSRQ800, complete sequence",1358,Lactococcus lactis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis,-,-,-,No,
NC_003893.1,refseq,Plasmid,pLP2000,2061,circular,16-DEC-2014,"Lactobacillus plantarum plasmid pLP2000, complete sequence",1590,Lactobacillus plantarum,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus plantarum,-,-,-,No,
