plasmid_0;88+,160+,119+,158+,132-,174+,8-
plasmid_1;99-,153+,157+,150+,159+,153+,151+,150+,145+,143-,119+,158+,132-,154+,131+
plasmid_2;135-,172+,140-,74-,170+,141+,166+,138-,169+,141-,162-,77+,140-,97+,171-,141+,38+
plasmid_3;55+
plasmid_4;72+,171-,141+,165+,62+
plasmid_5;107+
plasmid_6;110+,140+,173+,40-
plasmid_7;129-,160+,119+,175-,132-
plasmid_8;33+,144-,19+,143-,119+
plasmid_9;132+
plasmid_10;39+,140+,27+
plasmid_11;44+,140+
plasmid_12;47+,140+
plasmid_13;7-,140+
plasmid_14;41-,140+
plasmid_15;106+,140+
plasmid_16;140+
plasmid_17;112-,171-,141+
plasmid_18;127+,161-,141+
plasmid_19;35+,167+,141+
plasmid_20;10+,171-,141+
plasmid_21;32+,167+,141+
plasmid_22;52-,163+,141+
plasmid_23;50-,141+
plasmid_24;73-,171-,141+
plasmid_25;162+,141+
