plasmid_0;5-,97+,47+,95+,54+,19+,63+
plasmid_1;17+,67+,47+,95+,54+
plasmid_2;21-,97+,47+,95+,54+
plasmid_3;42+
plasmid_4;79+,96-,34+,89+,85-,66-,18-,60-,92+,77-,59-,94+,88-,79+,40-
plasmid_5;45+
plasmid_6;30+,80-,72+,64+,43+,75-,46+,69+,36+,87+,61+,91+,41+,93+,58-,53+,96+,79-,88+,94-
plasmid_7;78+,92-,49-,37+,49+
plasmid_8;44+
plasmid_9;62-,26-,62+,16+,62-,29+,62-,25+
plasmid_10;51+
plasmid_11;54+
plasmid_12;6-,67+,47+
plasmid_13;67+,47+
plasmid_14;97+
plasmid_15;76+,46+,69+,36+,86-
plasmid_16;88-,79+
