plasmid_0;83+
plasmid_1;66+
plasmid_2;120+,63+,121+,107+,120+,57-,58+,93-,47+,118+,112-,87+,104-,119-,72-,102-,92-,111+,100-,117-,45-,88+,39+,98-,43+
plasmid_3;50+
plasmid_4;32+
plasmid_5;60+,86+,49+,88-,76-,107-,130-,61-,120-,107-
plasmid_6;107+,120+,123+,94-,31+,117+,100+,111-,92+,102+,75+,21-
plasmid_7;42+,129-
plasmid_8;93+,81+
plasmid_9;118+,113+,87+,103-,119-,34+,106-,115-,96+,48+,80-
plasmid_10;67+,94+,110+
plasmid_11;82-,7+,85+,77-,97+,98-,55+,96-,114+,106+,85+,25-,105-
plasmid_12;78+,86+,19-
plasmid_13;86+
plasmid_14;127+,79-,91-,38+,91+,30-,91+,68+
plasmid_15;116-,4-,85+,22-,109+
plasmid_16;62+,84-,9+,85+,36+,105-
plasmid_17;114+,106+,85+
plasmid_18;85+
plasmid_19;80+,11-,125-
plasmid_20;98+
