plasmid_0;59-,67+,69+,71-,39-
plasmid_1;41+,64-,86+,60-,87-,14+,72-
plasmid_2;18+,85-,64-,86+,60-,75-,6+
plasmid_3;44+,80-,79+,43+,24+
plasmid_4;62+,70+,73-,58+,73-,43-,78-,80+,77-,84-,57-,84-,66-,70-,56+
plasmid_5;28+,67+,55-,70-,51+
plasmid_6;73+,70-,50+
plasmid_7;48+
plasmid_8;31+
plasmid_9;29+,87+,60+,89-,64+,85+,88-
plasmid_10;5-,75+,60+,89-,64+
plasmid_11;75+,60+,89-,64+
plasmid_12;22+,68+,30+,68+,35+,7-
plasmid_13;76+,20+,68+,4+
plasmid_14;23+,68+,2+,65-,9+,72+
plasmid_15;19+,68+,33-
plasmid_16;72-,21-,68+,17-
plasmid_17;52+,68-,40-,68+,45+
plasmid_18;61+,68+
plasmid_19;67+
