plasmid_0;83+,91+,71-,23+,73+,25-
plasmid_1;83+,91+,71-
plasmid_2;97+,69+,81-,84+,88-,85+,88-,56+,94-,77-,44-,95+,77-,60-,78+,42+,76-,22+
plasmid_3;64+
plasmid_4;36+,77+,95-,67+
plasmid_5;63+
plasmid_6;39+,66-
plasmid_7;50+
plasmid_8;72+,48+,78-,79+,66-
plasmid_9;71+
plasmid_10;14+,81+,69-,97-
plasmid_11;81+,69-
plasmid_12;74+,31-,92+,69-,96+
plasmid_13;5+,80-,38-,92+
plasmid_14;92+
plasmid_15;51+,76+,19-,87+
plasmid_16;55-,76+,10-
plasmid_17;70+,76+
plasmid_18;76+
plasmid_19;3-,75-,54+,77+,11+
plasmid_20;77-,15-,77+,45-,94-,77-,6-
plasmid_21;41-,77+,94+,28-
plasmid_22;13-,77+
plasmid_23;46+,77+
plasmid_24;77+
