plasmid_0;72-,60+,82-,53-,87-,69+,80-,15+
plasmid_1;48+,46+,64-,27+,64+,24+,58+,43+,58+,5+,92-,50+,25-,90-,50+,17-,85-
plasmid_2;82-,52+,87-,70-,80-,23+,91-,50+,8-,84+,71-,77-,63-,76+,76+
plasmid_3;54-,33+,54+,26+,54+,39+,50+,2-,41+,19-,58-,21+,62-
plasmid_4;1-,92-,50+,13-,50-,90+,11-
plasmid_5;6+,92-,50+,35+
plasmid_6;50+,57+,50-
plasmid_7;50+
plasmid_8;58+
plasmid_9;61+,14-,29+,4-,79-
plasmid_10;48-,20+,29+,36+,94-
plasmid_11;42-,78+,51+,40-,55-,37-
plasmid_12;38-,78+,51+,30+,56-
plasmid_13;78+,51+,44-
plasmid_14;78+,51+
