,chain,putative,name,seed,length,mean_read_depth,gene_density,num_cds,gc_content,circular
plasmid_0,"129+,97-,156-,100-,109-,84-,105-,59-,145-,106+,75+,56+,65+,52-,111-,95+,139-,133+,92-,51-,158-,124+,119+,140+,136+",False,plasmid_0,65,2971,8.494499,0.054864,2,0.500505,False
plasmid_1,"27+,37+,43+,49-",True,plasmid_1,43,29905,0.974644,0.640762,49,0.330781,False
plasmid_2,"49+,18+",True,plasmid_2,18,47006,0.903509,0.826894,111,0.34419,False
plasmid_3,"30+,42+,19-,50+,53+,108-,107-,117-,150-,77-",False,plasmid_3,50,53725,1.562381,0.01208,9,0.405603,False
plasmid_4,"7-,50+,53+",False,plasmid_4,50,157189,1.225037,0.011407,24,0.381553,False
plasmid_5,"50+,53+,112+,107-,87+,77-,143-,45-,113+,119-,124-",False,plasmid_5,50,2464,5.272974,0.23336,8,0.511364,False
plasmid_6,"13+,88+",False,plasmid_6,88,94826,1.118712,0.00078,1,0.376901,False
plasmid_7,"28+,88+",False,plasmid_7,88,17871,0.851839,0.033182,9,0.367635,False
plasmid_8,88+,False,plasmid_8,88,80,0.931876,0.925,1,0.475,False
plasmid_9,"49+,25-,58+,93+,63+",True,plasmid_9,49,26816,1.345368,0.369928,19,0.385777,False
plasmid_10,"49+,16+,44-,22-",False,plasmid_10,49,88584,1.482804,0.01375,6,0.391527,False
plasmid_11,"49+,40+",False,plasmid_11,49,3452,1.59314,0.112688,1,0.377173,False
plasmid_12,"49+,9+,148+",False,plasmid_12,49,120562,0.966168,0.003227,1,0.366716,False
