,chain,putative,name,seed,length,mean_read_depth,gene_density,num_cds,gc_content,circular
plasmid_0,"40-,59-,36-,47+,48-,54-,49+,54-,19+,68-,43+,70+,21-",False,plasmid_0,49,80396,1.057832,0.086435,29,0.387892,False
plasmid_1,"63+,52+,57+,71-,31-,55-,44-,30+,61+,36+,59+,40+",True,plasmid_1,59,21219,1.411421,0.513785,34,0.411518,False
plasmid_2,29+,True,plasmid_2,29,8017,1.188024,0.683672,12,0.411251,False
plasmid_3,"63+,52+,57+,71-,26+,44+,39+",True,plasmid_3,26,21658,0.967766,0.576738,35,0.348601,False
plasmid_4,"65+,33+",True,plasmid_4,33,5304,0.7047,0.48586,4,0.354638,False
plasmid_5,"46+,73-,65+,27+,69+,43+,64+,14+,43+,9-",False,plasmid_5,27,212987,0.999293,0.04212,29,0.377887,False
plasmid_6,"23+,47-,36+,74+,40+",False,plasmid_6,40,37450,1.237347,0.136983,12,0.417837,False
plasmid_7,"36+,74+,40+",True,plasmid_7,40,4931,1.523477,0.932265,5,0.504766,False
plasmid_8,"74+,40+",False,plasmid_8,40,1648,0.342649,0.95085,2,0.527306,False
plasmid_9,"46+,34+,72+,43-,69-,22-",False,plasmid_9,46,39740,1.197584,0.080322,22,0.397635,False
plasmid_10,"46+,73-,65+",False,plasmid_10,46,724,4.096574,0.716851,3,0.392265,False
plasmid_11,46+,False,plasmid_11,46,600,0.394219,0.865,3,0.386667,False
plasmid_12,"12+,43+,66-,15-",False,plasmid_12,43,174494,0.911927,0.00345,2,0.360362,False
plasmid_13,"53-,58-,53-,60-,10-,68-,43+,66-,18-",False,plasmid_13,43,156270,0.99546,0.004313,3,0.373309,False
plasmid_14,"17-,67-,43+,66-,7-,56+",False,plasmid_14,43,175850,0.964954,0.003844,3,0.372966,False
plasmid_15,"24-,67-,43+,72-,8+,42-,35+",False,plasmid_15,43,157318,0.89613,0.018987,5,0.368013,False
plasmid_16,"20+,69+,43+,64+",False,plasmid_16,43,35632,1.069711,0.016895,2,0.389594,False
plasmid_17,"43+,32+",False,plasmid_17,43,6338,0.481129,0.094983,2,0.328021,False
plasmid_18,"43+,66-,41+,70-,43-",True,plasmid_18,43,3297,0.745991,0.36518,2,0.336063,False
plasmid_19,43+,False,plasmid_19,43,943,0.844487,0.638388,2,0.370095,False
