,chain,putative,name,seed,length,mean_read_depth,gene_density,num_cds,gc_content,circular
plasmid_0,"6-,59-,37+,55+,35+,51+,47-,14+,39-,24-,58+,44+",False,plasmid_0,55,261969,1.072047,0.036443,79,0.383981,False
plasmid_1,"53-,54-,37+,55+,35+,51+,47-,7+,39-,1-",False,plasmid_1,55,453717,1.121544,0.013989,28,0.386717,False
plasmid_2,"37+,55+,35+,51+,47-",True,plasmid_2,55,5780,5.438796,0.88737,12,0.503114,False
plasmid_3,"41+,26-,45+,31-,45+,40+,42+,30+,45-,36-,42-,41-,45-,28-,45-,21+,48-,43+,45+,46-,50+,41+,11+",False,plasmid_3,30,171743,0.819591,0.242624,243,0.358344,False
plasmid_4,"41-,50-,46+,45-,18-,45-,49-",False,plasmid_4,46,31862,1.283457,0.095568,81,0.377001,False
plasmid_5,22+,True,plasmid_5,22,15053,1.024051,0.547133,27,0.378529,False
plasmid_6,37+,False,plasmid_6,37,1782,0.789644,0.879349,2,0.514029,False
plasmid_7,"62-,35+,17-,52-,23-",False,plasmid_7,35,58347,0.810537,0.062094,12,0.374038,False
plasmid_8,"32+,44+",True,plasmid_8,44,5705,0.639338,0.321648,15,0.334794,False
plasmid_9,44+,False,plasmid_9,44,985,1.328764,0.952284,3,0.366497,False
plasmid_10,"19-,50+,41+",False,plasmid_10,41,28223,0.877919,0.039897,13,0.360132,False
