,chain,putative,name,seed,length,mean_read_depth,gene_density,num_cds,gc_content,circular
plasmid_0,"73+,11+,50+,6-,54-,81+,36+,72+,40+,3-,41+,2-,77-,51-,30-,50-,27-",False,plasmid_0,72,727027,1.073899,0.036161,75,0.380279,False
plasmid_1,"5+,42-,10+,54-,81+,36+,72+,40+,62+,25-,51+,77+,20-,78+,51-,35+,47-,29-,51+",False,plasmid_1,72,349350,1.151759,0.091696,112,0.381231,False
plasmid_2,"54-,81+,36+,72+,40+",True,plasmid_2,72,5813,5.399244,0.862377,10,0.501634,False
plasmid_3,"43-,69-,77-,51-,28+,47-,7+,70+",False,plasmid_3,28,180300,0.854638,0.052041,36,0.359229,False
plasmid_4,"75+,24-,52+,75+,39+,52+,74-,26+,52+",True,plasmid_4,39,38897,1.575359,0.416073,195,0.376456,False
plasmid_5,"44+,66+,55+,65+,8-",False,plasmid_5,55,142793,0.931423,0.002584,3,0.360361,False
plasmid_6,"52-,24+",False,plasmid_6,24,19961,0.352174,0.656781,181,0.363158,False
plasmid_7,"45+,66+,53+",False,plasmid_7,53,2200,1.301396,0.167727,3,0.370455,False
plasmid_8,40+,False,plasmid_8,40,1815,1.075021,0.863361,2,0.510744,False
plasmid_9,36+,False,plasmid_9,36,3249,0.360524,0.896891,1,0.492151,False
plasmid_10,47+,False,plasmid_10,47,1241,1.261877,0.952458,4,0.435133,False
plasmid_11,"82+,63+,61-,46+,51+",True,plasmid_11,51,2885,1.175113,0.335875,4,0.361525,False
plasmid_12,"52-,15-,52+",True,plasmid_12,52,55004,2.066619,0.344102,101,0.352538,False
plasmid_13,"31+,33-",True,plasmid_13,31,13939,1.694383,0.644953,51,0.336179,False
plasmid_14,"31+,22-,56-",False,plasmid_14,31,32969,0.608128,0.192302,41,0.342018,False
plasmid_15,"12+,42-,4-,67-,59-,49+,48-",False,plasmid_15,49,294906,1.044289,0.032115,72,0.375706,False
plasmid_16,"37-,67-,58-,49+,48-",False,plasmid_16,49,5484,0.498761,0.212254,3,0.338804,False
