,chain,putative,name,seed,length,mean_read_depth,gene_density,num_cds,gc_content,circular
plasmid_0,"57-,35+,57+,54-,31-,45+,22-,50+,40-,56+,43+,21-,46-",False,plasmid_0,56,81832,1.031328,0.233258,160,0.382638,False
plasmid_1,"46-,6-,58-,40-,56+,43+",False,plasmid_1,56,148595,1.009255,0.031926,7,0.37407,False
plasmid_2,"51-,2+,45+,13-,50+,40-,56+,43+",False,plasmid_2,56,316426,1.176186,0.020615,18,0.394196,False
plasmid_3,34+,True,plasmid_3,34,6769,0.593744,0.804402,37,0.326341,False
plasmid_4,16+,True,plasmid_4,16,65745,0.885928,0.855289,137,0.341288,False
plasmid_5,24+,True,plasmid_5,24,22007,1.015942,0.904394,76,0.360931,False
plasmid_6,37+,False,plasmid_6,37,5807,0.350111,0.509041,4,0.292578,False
plasmid_7,"15-,47+,27+,47+,18-",False,plasmid_7,27,141777,1.002332,0.072797,19,0.373086,False
plasmid_8,38+,True,plasmid_8,38,5129,4.096143,0.522714,6,0.369078,True
plasmid_9,43+,True,plasmid_9,43,1795,4.65512,0.872981,2,0.513649,False
plasmid_10,"40+,58+,19+",False,plasmid_10,40,48391,0.893186,0.074869,12,0.372404,False
plasmid_11,"40+,50-",True,plasmid_11,40,3889,2.759655,0.897146,9,0.496786,False
plasmid_12,58+,False,plasmid_12,58,80,0.380404,0.925,1,0.475,False
plasmid_13,"47-,26+,47+,39-",False,plasmid_13,47,21330,0.500413,0.090858,4,0.332583,False
plasmid_14,"9-,45+",False,plasmid_14,45,130674,1.066184,0.010101,5,0.378744,False
plasmid_15,45+,True,plasmid_15,45,1682,0.49865,0.78478,5,0.393579,False
plasmid_16,"10+,41+,4-",False,plasmid_16,41,285903,1.043561,0.048891,36,0.374298,False
plasmid_17,"5+,41+,7-,48-,53-,51-,14+",False,plasmid_17,41,383648,1.010163,0.017149,13,0.375764,False
