,chain,putative,name,seed,length,mean_read_depth,gene_density,num_cds,gc_content,circular
plasmid_0,"149+,150+,100-,127+,120+,144+,78-,138+,130+,135-,87-,101+,82-,117+,136-,111-",False,plasmid_0,101,2075,7.158653,0.078554,2,0.499759,False
plasmid_1,71+,True,plasmid_1,71,1727,0.697923,0.677475,11,0.316734,False
plasmid_2,"77-,51+,94-,75-,59+,74+",True,plasmid_2,51,15695,1.272926,0.618286,39,0.382988,False
plasmid_3,70+,True,plasmid_3,70,2109,1.009647,0.736842,3,0.348032,False
plasmid_4,45+,True,plasmid_4,45,13038,1.209689,0.80273,25,0.361789,False
plasmid_5,"77-,43+,76-,89-,92+,60-",True,plasmid_5,43,20996,1.181537,0.626929,41,0.392122,False
plasmid_6,44+,True,plasmid_6,44,13503,3.495383,0.602829,18,0.354069,True
plasmid_7,"74-,57+",True,plasmid_7,57,6269,0.943277,0.55591,11,0.360664,False
plasmid_8,"77-,53+,80+,83+",False,plasmid_8,80,9378,1.407325,0.25965,26,0.411495,False
plasmid_9,"81+,52+,34-,80+,83+",False,plasmid_9,80,35042,1.368973,0.018521,9,0.40577,False
plasmid_10,"80+,83+,113+,105+,133+,154-,129-,147+,108+,84+,115+",True,plasmid_10,80,1824,4.429008,0.315241,8,0.514254,False
plasmid_11,"104+,4+",False,plasmid_11,104,128269,0.948938,0.000577,1,0.370768,False
plasmid_12,"104+,21-,77+",False,plasmid_12,104,45091,0.787324,0.027389,10,0.367191,False
plasmid_13,104+,False,plasmid_13,104,80,1.679903,0.925,1,0.475,False
plasmid_14,74+,False,plasmid_14,74,912,2.149595,0.995614,7,0.383772,False
plasmid_15,"161-,33+,75-,17+,77+",False,plasmid_15,33,91009,1.190319,0.267875,52,0.388698,False
plasmid_16,"46-,77+",False,plasmid_16,77,11609,1.335152,0.055302,1,0.402791,False
plasmid_17,"49+,77+",False,plasmid_17,77,9128,1.153045,0.070333,1,0.388365,False
