,chain,putative,name,seed,length,mean_read_depth,gene_density,num_cds,gc_content,circular
plasmid_0,"63-,61-,55+,2+,82-,46-,72+,44-,67-,57-,16+,48-,35-,80-,52-",False,plasmid_0,72,296512,1.076306,0.032194,79,0.382952,False
plasmid_1,"12-,77-,68-,71-,46-,72+,44-,67-,57-,5+,79+,48-,3-,79+",False,plasmid_1,72,475078,1.042011,0.015179,34,0.381546,False
plasmid_2,"46-,72+,44-,67-,57-",True,plasmid_2,72,5780,6.162954,0.88737,12,0.502941,False
plasmid_3,"42+,53+,45+,49-,53+,39-,53+,36-,50-,53+,38+,53+,27-,59+,51-,53-,56+,64+,50+,45-",True,plasmid_3,42,57826,0.815085,0.722512,240,0.349151,False
plasmid_4,31+,True,plasmid_4,31,15053,1.048105,0.547133,27,0.378529,False
plasmid_5,46+,False,plasmid_5,46,1782,1.205644,0.879349,2,0.513468,False
plasmid_6,"75+,78+,75+,20+,44+,86+",False,plasmid_6,44,49414,0.809733,0.073319,12,0.375663,False
plasmid_7,"52+,43-,66+",False,plasmid_7,52,4300,1.16615,0.217907,3,0.382558,False
plasmid_8,"52+,40-",True,plasmid_8,52,5705,0.609191,0.321472,15,0.334443,False
plasmid_9,"62-,53-,25-,53-,50+,9-,54+,1+",False,plasmid_9,50,411756,0.946188,0.006586,81,0.370469,False
plasmid_10,"37+,53+,41+,53-,50+",False,plasmid_10,50,12438,0.544823,0.200997,80,0.337594,False
plasmid_11,"26-,64+,50+",False,plasmid_11,50,28223,0.854489,0.039897,13,0.360132,False
