,chain,putative,name,seed,length,mean_read_depth,gene_density,num_cds,gc_content,circular
plasmid_0,"30-,36+,37+,45+,39+,45+,5+",False,plasmid_0,37,167050,1.062757,0.010733,22,0.379144,False
plasmid_1,"43+,35+,42-,63-,51-,26+,31+,50-,25+,47-,65-,43-,42-,55+,58+,20-,58-",True,plasmid_1,25,27992,0.870632,0.417083,66,0.349028,False
plasmid_2,"45+,39+",False,plasmid_2,39,564,0.334929,0.673759,5,0.508865,False
plasmid_3,"52+,29+,48+,28+,3-,36-,30+",False,plasmid_3,48,391552,1.24165,0.046627,63,0.390117,False
plasmid_4,"52+,29+,48+,28+",True,plasmid_4,48,3611,8.55352,0.454168,3,0.496815,False
plasmid_5,"49-,31-,19+,46-,65-,43-,42-,55+,24+,31+,50-,23-",True,plasmid_5,24,30206,1.40008,0.487685,51,0.381216,False
plasmid_6,"62+,28+",True,plasmid_6,28,1805,2.352337,0.868144,2,0.511911,False
plasmid_7,"30-,56+,2-",False,plasmid_7,56,475010,1.014126,0.0004,3,0.374087,False
plasmid_8,"30-,56+,7+",False,plasmid_8,56,121171,0.96899,0.005851,11,0.375478,False
plasmid_9,"30-,56+",False,plasmid_9,56,1658,6.863836,0.114596,3,0.508444,False
plasmid_10,36+,False,plasmid_10,36,610,3.177192,0.752459,6,0.514754,False
plasmid_11,"27-,63+,42+",True,plasmid_11,42,4256,0.446921,0.371711,5,0.316259,False
plasmid_12,"63+,42+",False,plasmid_12,42,279,1.949587,0.874552,2,0.390681,False
plasmid_13,"22-,31+,49+",False,plasmid_13,31,6153,0.561997,0.189013,17,0.333008,False
plasmid_14,"31+,49+",False,plasmid_14,31,1366,1.471414,0.851391,17,0.374085,False
