,chain,putative,name,seed,length,mean_read_depth,gene_density,num_cds,gc_content,circular
plasmid_0,"3+,90+,78-,90+,76+,62+,41-",False,plasmid_0,76,282165,1.094784,0.006354,23,0.377946,False
plasmid_1,23+,True,plasmid_1,23,27231,0.730521,0.874702,113,0.335537,False
plasmid_2,"89-,58+,86+,99+,33-,46-,97-,35+,111+,89+,86+,109-,36+,46-",True,plasmid_2,35,17480,0.66564,0.75286,56,0.361499,False
plasmid_3,78+,False,plasmid_3,78,359,0.533197,0.604457,3,0.504178,False
plasmid_4,"22-,96-,13+,77-,67+,55+,11-,44-,95+,72+,101-,103-,41+,100+,21-,29-",False,plasmid_4,95,236352,1.087475,0.075866,59,0.375762,False
plasmid_5,"44-,95+,72+,101-,103-,41+,62-,9-",False,plasmid_5,95,108093,1.449089,0.021176,12,0.402006,False
plasmid_6,"34+,97+,46+,33+,99-,86-,89-,111-,26-,46-",True,plasmid_6,33,29880,0.748176,0.493005,51,0.382229,False
plasmid_7,"2+,100-,41-,103+,102+,72-,107-,44+,113+,19+",False,plasmid_7,44,335155,0.967998,0.007247,15,0.373573,False
plasmid_8,"107-,44+",True,plasmid_8,44,1805,12.012645,0.868144,2,0.511911,False
plasmid_9,"102-,103-,41+,100+",False,plasmid_9,100,2899,9.416613,0.06554,3,0.504312,False
plasmid_10,"62+,41-",False,plasmid_10,62,3277,0.482694,0.175465,8,0.507171,False
plasmid_11,62+,False,plasmid_11,62,610,1.776715,0.752459,6,0.514754,False
plasmid_12,"86+,109-",False,plasmid_12,86,279,2.131309,0.874552,2,0.390681,False
plasmid_13,"97+,46+,38+",False,plasmid_13,46,5294,0.398663,0.219683,17,0.337741,False
