,chain,putative,name,seed,length,mean_read_depth,gene_density,num_cds,gc_content,circular
plasmid_0,"29+,43-,30+,39+,16+,41-,9+,53+,51+,53+,48-,47+,61+,38-,58+,40+,4+,45+,22-,45+,59-,23+",False,plasmid_0,58,466882,1.067958,0.081346,88,0.375273,False
plasmid_1,"11-,47+,61+,38-,58+,40+,57+,14-,42-,3+",False,plasmid_1,58,408697,1.176938,0.051672,64,0.39069,False
plasmid_2,"47+,61+,38-,58+,40+",True,plasmid_2,58,5834,3.481011,0.859445,10,0.500686,False
plasmid_3,"35-,44+,52+,37-,17+,37-,25+",True,plasmid_3,25,103847,1.154292,0.846197,216,0.338257,False
plasmid_4,"18+,43-,32+",False,plasmid_4,32,73312,0.885971,0.079509,13,0.363556,False
plasmid_5,36+,True,plasmid_5,36,5143,16.310828,0.700953,8,0.368073,True
plasmid_6,40+,False,plasmid_6,40,1835,0.613382,0.853951,2,0.507357,False
plasmid_7,"63-,38+,26+,46-,10-",False,plasmid_7,38,124777,0.965772,0.028699,11,0.377754,False
plasmid_8,53+,False,plasmid_8,53,205,0.400324,0.8,2,0.512195,False
plasmid_9,43+,False,plasmid_9,43,1301,1.000252,0.91545,3,0.431207,False
plasmid_10,"8-,42+,31-,45+,60+,34+,39+,55-,44+,52+",False,plasmid_10,45,153055,1.037997,0.036569,79,0.372337,False
plasmid_11,"45-,15+,45+,60+,12-",False,plasmid_11,45,150455,1.104452,0.012881,4,0.381882,False
plasmid_12,"5+,45+,60+,2+",False,plasmid_12,45,452339,0.916248,0.007844,9,0.373755,False
plasmid_13,"39+,55-,44+,7-,45+,60+,27+",False,plasmid_13,45,175539,0.889103,0.033024,24,0.372299,False
plasmid_14,"24+,45+",False,plasmid_14,45,25662,0.446597,0.03776,4,0.305705,False
plasmid_15,45+,False,plasmid_15,45,1004,1.275261,0.964143,4,0.359562,False
