,chain,putative,name,seed,length,mean_read_depth,gene_density,num_cds,gc_content,circular
plasmid_0,"59+,26+,54+,69+,50-,71-,11-",False,plasmid_0,69,132418,1.008133,0.035826,7,0.381134,False
plasmid_1,"54+,69+,50-,60-,2-",False,plasmid_1,69,279945,1.137888,0.018586,13,0.395245,False
plasmid_2,"54+,69+,50-,71-,27+",False,plasmid_2,69,37836,0.937719,0.1391,15,0.386325,False
plasmid_3,"45-,21+",True,plasmid_3,21,46060,1.299229,0.851086,79,0.348068,False
plasmid_4,31+,True,plasmid_4,31,20398,0.683979,0.798559,57,0.323463,False
plasmid_5,"70-,43+,70+,64-,57+,51-,51-",True,plasmid_5,57,13435,0.518522,0.816971,104,0.339486,False
plasmid_6,"64-,65+,29+,45+",True,plasmid_6,29,29660,0.867507,0.808024,82,0.365172,False
plasmid_7,46+,False,plasmid_7,46,4854,0.394416,0.553564,3,0.31129,False
plasmid_8,"33+,56-,38+,56-,16-",False,plasmid_8,38,95411,0.980798,0.108174,19,0.375407,False
plasmid_9,52+,True,plasmid_9,52,2460,0.886495,0.508537,16,0.39878,True
plasmid_10,54+,True,plasmid_10,54,1795,3.512233,0.872981,2,0.513649,False
plasmid_11,"6-,60+,50+",False,plasmid_11,50,124092,1.001971,0.037932,25,0.384247,False
plasmid_12,"60+,50+",True,plasmid_12,50,3889,1.749084,0.897146,9,0.496786,False
plasmid_13,71+,False,plasmid_13,71,80,0.465141,0.925,1,0.475,False
plasmid_14,"47-,56+,34-,56-",False,plasmid_14,56,21356,0.545292,0.090701,4,0.332272,False
plasmid_15,"64-,65+",False,plasmid_15,65,704,0.750463,0.660511,16,0.370739,False
plasmid_16,65+,False,plasmid_16,65,331,0.330131,0.833837,15,0.374622,False
