,chain,putative,name,seed,length,mean_read_depth,gene_density,num_cds,gc_content,circular
plasmid_0,"100-,181-,142+,93+,57-,119+,108+,94+,69-,76+,153-,170-,74+,115+,164-,62+,123+,154+,171-,138-,113-,163-",False,plasmid_0,94,3266,7.007597,0.022352,1,0.500306,False
plasmid_1,"30-,70-,68-,97-,43+",True,plasmid_1,43,30976,1.09643,0.901052,131,0.359407,False
plasmid_2,"70-,68-,98-,42+,98+",True,plasmid_2,42,7193,0.928448,0.771305,51,0.355484,False
plasmid_3,"48+,48+,56+,53+,25-,73-",False,plasmid_3,56,39912,1.159977,0.139908,25,0.392939,False
plasmid_4,"63-,112+,3-",False,plasmid_4,112,146815,1.000667,0.001294,3,0.376406,False
plasmid_5,"63-,112+,18-",False,plasmid_5,112,43908,0.910206,0.016147,11,0.368088,False
plasmid_6,"144-,154+,126-,113-,163-,61+,129+,158-,173+,109+,95+,148+,157+,63-,112+",False,plasmid_6,112,1794,6.856075,0.105909,3,0.50223,False
plasmid_7,"66-,45-,23+,60+",False,plasmid_7,60,38476,1.326848,0.013853,7,0.403238,False
plasmid_8,"5+,60+",False,plasmid_8,60,120685,1.085533,0.013896,23,0.381298,False
plasmid_9,60+,False,plasmid_9,60,610,1.826825,0.752459,6,0.514754,False
plasmid_10,"7-,53+,59-,55+",False,plasmid_10,55,121114,1.159441,0.017587,14,0.385818,False
plasmid_11,"68+,71+,52+",True,plasmid_11,52,2560,0.509273,0.616406,23,0.308203,False
plasmid_12,"67+,13-,53+,21+",False,plasmid_12,53,112360,1.075235,0.011748,5,0.376896,False
plasmid_13,"46-,53+,44-",False,plasmid_13,53,9077,0.646269,0.145422,5,0.336124,False
plasmid_14,53+,True,plasmid_14,53,1681,1.725644,0.785247,5,0.393813,False
plasmid_15,"68+,70+",False,plasmid_15,70,704,0.681443,0.660511,16,0.370739,False
plasmid_16,"68+,71+,51-",True,plasmid_16,71,2623,1.112035,0.332825,17,0.372474,False
plasmid_17,"71+,1+",False,plasmid_17,71,499987,0.954543,0.000846,17,0.374588,False
