,chain,putative,name,seed,length,mean_read_depth,gene_density,num_cds,gc_content,circular
plasmid_0,"38+,16+,31-,56+,28-,60-,1-,32-,12+,58-,46-,49-,19+,40+,10-,40+,30+",False,plasmid_0,56,824902,1.004511,0.12028,296,0.36599,False
plasmid_1,"53+,18+,36+,22+,36-,11+,36+,23+,36+,7-,44-,42+,37-,5+,61+,31-,56+,28-,41+,6-,54-,45+,54+",False,plasmid_1,56,726666,1.008947,0.047606,96,0.371333,False
plasmid_2,"28-,60-,17-,33-,13-,58-,46-,48-,26+,33-,50+,58-",False,plasmid_2,50,91140,0.980328,0.1246,97,0.370704,False
plasmid_3,"40-,10+",True,plasmid_3,10,68770,0.514557,0.840715,148,0.339988,True
plasmid_4,"57+,25+,57-,46-,48-,35-,8+,58-,46-,49-,20+,55+,52-,53+,53+",False,plasmid_4,20,159446,0.922868,0.096929,75,0.369021,False
plasmid_5,27+,True,plasmid_5,27,5144,13.33188,0.700816,8,0.368779,True
plasmid_6,31+,True,plasmid_6,31,1795,1.937696,0.872981,2,0.513649,False
plasmid_7,"37+,43-,44+,3+,41-,28+",False,plasmid_7,28,314086,0.984665,0.011344,10,0.39366,False
plasmid_8,"48-,2-,48+,46+,57+",False,plasmid_8,48,467219,0.906746,0.001781,17,0.374666,False
plasmid_9,46+,False,plasmid_9,46,373,2.215802,0.506702,1,0.367292,False
