,chain,putative,name,seed,length,mean_read_depth,gene_density,num_cds,gc_content,circular
plasmid_0,"41-,60+,72+,86-,74+,86-,4+,107-,13-,73-,65-,54+,11+,39+,97+,40+,104-",False,plasmid_0,72,469391,1.110213,0.041486,77,0.377055,False
plasmid_1,19+,True,plasmid_1,19,27433,0.87172,0.875916,114,0.335946,True
plasmid_2,"99+,42-,32+,103-,117+,83-,85-,118-,31+,100+,42-,30-,105+,83-,57-,85+",True,plasmid_2,31,17604,0.720666,0.747557,56,0.361906,False
plasmid_3,"86-,74+",False,plasmid_3,74,564,0.428496,0.675532,5,0.508865,False
plasmid_4,"39+,97+,40+,104-",True,plasmid_4,97,3611,10.299858,0.454168,3,0.496815,False
plasmid_5,"39+,116-",True,plasmid_5,39,1805,2.256773,0.868144,2,0.511911,False
plasmid_6,"26+,17-,106+,41+",False,plasmid_6,106,48140,1.17723,0.003947,3,0.372933,False
plasmid_7,"2+,106+,41+",False,plasmid_7,106,382304,1.000185,0.002255,13,0.372994,False
plasmid_8,"106+,41+",False,plasmid_8,106,1658,9.378327,0.114596,3,0.508444,False
plasmid_9,"41-,60+,23-,98-,20-",False,plasmid_9,60,41819,1.169416,0.015519,9,0.395323,False
plasmid_10,60+,False,plasmid_10,60,610,3.627303,0.752459,6,0.514754,False
plasmid_11,"99+,42-,21+,118+,85+,83+,117-,25-,100+,42-,29+,103-",True,plasmid_11,83,34608,0.67929,0.370435,52,0.358674,False
plasmid_12,"85+,83+,105-,112+,22-,112-",False,plasmid_12,83,16898,0.792979,0.187655,14,0.358208,False
plasmid_13,"83+,117-",False,plasmid_13,83,279,1.681051,0.874552,2,0.390681,False
plasmid_14,"42+,99-",False,plasmid_14,42,1366,0.680743,0.851391,17,0.374085,False
