,chain,putative,name,seed,length,mean_read_depth,gene_density,num_cds,gc_content,circular
plasmid_0,"18-,114-,64-,123+,55-,83-,42-",False,plasmid_0,123,75822,1.248043,0.083709,29,0.391047,False
plasmid_1,"129-,11-,75+,137-,29-,64-,123+,55-,125+,22-,86-",False,plasmid_1,123,169205,1.168332,0.031973,8,0.383027,False
plasmid_2,"58+,70-,69+",True,plasmid_2,69,5272,1.348372,0.810129,28,0.374621,False
plasmid_3,"90-,103-,115-,87+,113+,61+,80+,101-,92+,37+",True,plasmid_3,87,24288,0.78157,0.628294,36,0.349514,False
plasmid_4,"102-,115-,87+",False,plasmid_4,87,1172,0.560684,0.441126,3,0.360922,False
plasmid_5,"35+,41-",True,plasmid_5,35,30116,1.139875,0.606521,94,0.390357,False
plasmid_6,"45+,134+,75+,44-",True,plasmid_6,45,17503,1.23349,0.351197,13,0.391819,False
plasmid_7,"46+,56+,54+,71+,66+,63-,97-,79-,94+,110-,108+",True,plasmid_7,46,21102,1.347739,0.526443,30,0.355985,False
plasmid_8,"57+,130+,124+,76+,32-,131-,75-,133-,33-",True,plasmid_8,57,47092,1.178061,0.323452,46,0.364329,False
plasmid_9,"72-,76+,9-,75-,134-,39+,50+,127-",False,plasmid_9,39,130047,0.998756,0.110775,42,0.37551,False
plasmid_10,"100-,119-,74+,67-,99-",False,plasmid_10,74,3741,2.140874,0.27506,2,0.368351,False
plasmid_11,"109-,110+,95-,79+,98+,91+,66-,84+,54-,40+",True,plasmid_11,40,21611,0.688016,0.484799,34,0.345981,False
plasmid_12,"24+,133+,75+,136-,43+,76-,124-,128+,2+,60+,76-,72+",False,plasmid_12,72,246722,0.997998,0.014531,5,0.374421,False
plasmid_13,"82+,61+,73+,122+,140+,92+,111-,121+,105-,120-,48+",True,plasmid_13,48,12383,1.471237,0.485747,13,0.36752,False
plasmid_14,64+,True,plasmid_14,64,1813,6.737183,0.864313,2,0.510204,False
plasmid_15,"7-,93+,28-,83+,55+,141+",False,plasmid_15,55,170221,1.390627,0.020932,10,0.398864,False
plasmid_16,"17+,86+,36-,125-,55+,141+",False,plasmid_16,55,85133,1.065744,0.042557,12,0.38051,False
plasmid_17,"83+,55+",True,plasmid_17,55,3893,3.047248,0.896224,9,0.496018,False
plasmid_18,125+,False,plasmid_18,125,80,0.555521,0.925,1,0.475,False
plasmid_19,"120-,62-,70+,6-,134+,75+,5-",False,plasmid_19,70,301409,1.029891,0.006068,18,0.371525,False
plasmid_20,"61+,80+,101-,92+",False,plasmid_20,61,3651,0.655011,0.617091,8,0.381539,False
plasmid_21,"8-,135+,75+,132+,25-",False,plasmid_21,75,170362,1.2329,0.003909,1,0.380402,False
plasmid_22,"31+,135+,75+",False,plasmid_22,75,24754,1.161352,0.026905,1,0.380141,False
plasmid_23,"21-,134+,75+",False,plasmid_23,75,47728,1.267196,0.013954,1,0.382899,False
plasmid_24,"34-,135+,75+",False,plasmid_24,75,21278,1.124977,0.0313,1,0.382038,False
plasmid_25,"47+,134+,75+",False,plasmid_25,75,8549,1.210014,0.077904,1,0.378992,False
plasmid_26,75+,False,plasmid_26,75,944,2.879701,0.705508,1,0.351695,False
plasmid_27,"124+,76+,13-,126-",False,plasmid_27,76,88831,1.354275,0.006777,2,0.38508,False
plasmid_28,"76+,30+,89-",False,plasmid_28,76,26127,1.227274,0.023041,2,0.3953,False
plasmid_29,"76+,15-",False,plasmid_29,76,80167,1.082889,0.007509,2,0.371238,False
plasmid_30,"76+,16+",False,plasmid_30,76,67442,1.086102,0.008926,2,0.379778,False
plasmid_31,"76+,60-,49+",False,plasmid_31,76,10100,0.642778,0.059604,2,0.353762,False
plasmid_32,"14-,50+,127-",False,plasmid_32,50,92766,1.307889,0.075922,24,0.383578,False
