,chain,putative,name,seed,length,mean_read_depth,gene_density,num_cds,gc_content,circular
plasmid_0,"51-,13-,44-,88+,41+,90-,1-",False,plasmid_0,88,495159,1.065465,0.009581,7,0.375217,False
plasmid_1,"44-,88+,41+,54-,30+",True,plasmid_1,88,14828,1.870323,0.428042,28,0.440653,False
plasmid_2,"22-,83-,46+,61-,38-,72+,45+,40-,79-,68-,48-,81+,15+,83-,47+,61-,37-,80-,82+,72+,86+,60+,84-,76-,85+",True,plasmid_2,15,108076,0.953093,0.656603,168,0.347691,False
plasmid_3,"89+,35+,89-,64-,23+,82+,72+,86+,60+,84-",True,plasmid_3,23,29930,0.995079,0.841129,111,0.360809,False
plasmid_4,"33-,81-,48+,68+,79+,40+,45-,72-,38+",True,plasmid_4,38,18588,0.536415,0.403594,24,0.352001,False
plasmid_5,"24-,49-,27+,49-,16-",False,plasmid_5,27,89119,1.006305,0.115811,19,0.376384,False
plasmid_6,44+,False,plasmid_6,44,1795,3.11696,0.872981,2,0.513649,False
plasmid_7,"41+,90-,20-",False,plasmid_7,41,48292,0.913477,0.075023,12,0.372753,False
plasmid_8,"41+,90-",True,plasmid_8,41,3359,1.653905,0.924085,4,0.493004,False
plasmid_9,"39+,49+,26-,49-",False,plasmid_9,49,21321,0.555355,0.090849,4,0.332489,False
plasmid_10,"4-,64+",False,plasmid_10,64,191214,0.997365,0.083482,123,0.36923,False
