,chain,putative,name,seed,length,mean_read_depth,gene_density,num_cds,gc_content,circular
plasmid_0,"12-,75-,86-,37-,68+,98+,62+,79+,85+,93+,90+,93+,9-",False,plasmid_0,98,206084,1.096167,0.036422,31,0.38346,False
plasmid_1,"15-,92+,68+,98+,62+,100+,21-,74-",False,plasmid_1,98,120407,1.002368,0.0394,7,0.380808,False
plasmid_2,"68+,98+,62+,79+,6+",False,plasmid_2,98,128940,1.40369,0.040352,13,0.405949,False
plasmid_3,"93+,90+",False,plasmid_3,90,565,0.479183,0.674336,5,0.509735,True
plasmid_4,"67-,81+,42+,99+,102+,91+",True,plasmid_4,91,19920,1.138799,0.548193,41,0.336546,True
plasmid_5,"70+,99+,102+,91+",False,plasmid_5,91,2122,0.394423,0.109802,2,0.340716,False
plasmid_6,18+,True,plasmid_6,18,59703,0.645611,0.728255,130,0.350569,False
plasmid_7,"32+,73+,44-",True,plasmid_7,32,43200,0.519514,0.620972,92,0.362986,False
plasmid_8,69+,False,plasmid_8,69,1789,0.310679,0.553382,3,0.352152,False
plasmid_9,"68+,107+,62+,100+,39-,74-,17+",False,plasmid_9,62,85573,1.020005,0.06065,14,0.384163,False
plasmid_10,"62+,79+",True,plasmid_10,62,3893,3.317992,0.896224,9,0.496532,False
plasmid_11,"62+,100+",False,plasmid_11,62,3363,0.306756,0.922985,4,0.492715,False
plasmid_12,68+,True,plasmid_12,68,1835,4.506638,0.853951,2,0.507357,False
plasmid_13,"50+,73+,23+,71-,56+,86+,75+,104+,76-,10+,72-,84-,97+",False,plasmid_13,73,150697,1.174327,0.051229,43,0.37945,False
plasmid_14,"28-,88+,51+,73+,40+",False,plasmid_14,73,60710,0.970836,0.016999,4,0.371109,False
plasmid_15,"54-,73+,64-",False,plasmid_15,73,11200,0.628315,0.085714,3,0.354821,False
plasmid_16,"20-,86+,75+,48+",False,plasmid_16,86,61034,0.911991,0.042796,11,0.36927,False
plasmid_17,"71-,45+,86+,75+,14+",False,plasmid_17,86,84870,0.961518,0.014528,5,0.372417,False
plasmid_18,"58+,86+,75+,13-",False,plasmid_18,86,79642,0.926194,0.018131,6,0.36767,False
plasmid_19,"86+,75+",False,plasmid_19,86,1364,2.18023,0.848974,4,0.406891,False
plasmid_20,75+,False,plasmid_20,75,871,1.10116,0.841561,2,0.401837,False
