plasmid_0;103+,15-,88-,112+,73+,101-,2-
plasmid_1;88-,112+,73+,114-,42+,98+,19+
plasmid_2;51+
plasmid_3;67+,118+,110-,102-,62-,97-,81+
plasmid_4;113-,97+,61+
plasmid_5;90+
plasmid_6;102+,110+,57+,92-,39-
plasmid_7;38+,104-,72+
plasmid_8;43+,104-,79+
plasmid_9;68+
plasmid_10;56+
plasmid_11;66+
plasmid_12;77+
plasmid_13;80+
plasmid_14;88-,116+,73+,101-,5+
plasmid_15;88-,116+,73+,114-,27+,89-
plasmid_16;73+,101-
plasmid_17;114+
plasmid_18;88+
plasmid_19;113-,97+,74-
plasmid_20;97+
plasmid_21;36+,92+,23-
plasmid_22;58-,92+,93+,109+
plasmid_23;92+
