plasmid_0;47+,99+,32+
plasmid_1;113-,86-,98+,70+,36+,73-,48+,40+,92-,45+,48-
plasmid_2;108+,101-,86+,64-,50+,96-,95-,87-,51-,49-,93-,77-,58+,39-,74-,44-
plasmid_3;90-,106-,82-,105+,26+,92-,69-,78+,55-,51+,87+,95+,72+,12+,89+
plasmid_4;63+,58-,107+,68+
plasmid_5;34+,105-,82+,106+,91+
plasmid_6;23+,93+
plasmid_7;91+,81-,41+
plasmid_8;103-,2-,74+
plasmid_9;74+
plasmid_10;86+,64-,54+,79+,60-
plasmid_11;65+,19-,71+,25-,111+,112+,61+,114-
plasmid_12;22+,66-,3-,71+,76+,66+,13-,66+,29-
plasmid_13;35-,71+
plasmid_14;71+
plasmid_15;5+,73+,28-,73-,17+,65+
plasmid_16;73+
plasmid_17;75-,33-,75+,27-,75+,37+
plasmid_18;107+,68+
plasmid_19;88+,95+,72+,10-
plasmid_20;88+,95+,72+
plasmid_21;14-,72+
plasmid_22;55+,85-
