plasmid_0;19+,62-,20+,51+,37-,82+,42+,18+
plasmid_1;3+,54+,23-,85-,37-,82+,42+,69+,14+
plasmid_2;5+,43-,1-,51+,37-,82+,42+,69+,65-,7+
plasmid_3;47+
plasmid_4;28+,83+,81-,55+,22+,64-,34-,46-,44+,67-,46+,30+
plasmid_5;25+,56-,59+,63+,53+,70-,27+
plasmid_6;41-,93-,60+,92+,90-,31-,75-,61-,64+,40+,72-,91-,60-,73-,33+
plasmid_7;67-,46+,35+,87-,72-,91-,60-,73-,29+
plasmid_8;32+,46-
plasmid_9;38+
plasmid_10;42+
plasmid_11;100-,37+,85+,17-,54-
plasmid_12;37+,51-
plasmid_13;37+,85+
plasmid_14;67-,46+
plasmid_15;73+,60+,92+,90-,57+
plasmid_16;93-,60+,92+
