plasmid_0;99+,132+,94-,217+,122-,162-,128+
plasmid_1;134+,47+,75+,78+,116-,71+,116-,63-,84-,120-,61+,96+,92-,134+,101+,75-,68+
plasmid_2;64+
plasmid_3;83+,77+,62+,115-,53+
plasmid_4;167+,136-,81-,119+,25+
plasmid_5;55+
plasmid_6;167+,103-,107+,90+,150+,193+,188-,166-,152+,34+,92-,133-,56-,133+
plasmid_7;51+
plasmid_8;60+
plasmid_9;91+,223-,88+,43+,109-,228-,91+,224+,88+
plasmid_10;156+,117+,231+,31-,82+,87-,202+,215-
plasmid_11;4+,82+,87-
plasmid_12;82+,87-,202+,191-,247+,214-,149+,209-,230-,168+,100+
plasmid_13;21+,155+,87-
plasmid_14;8-,155+
plasmid_15;155+
plasmid_16;98+,86+,129+,32+,38-,75+,16-
plasmid_17;85-,120-,105-,75+,6+
plasmid_18;75+
plasmid_19;3+,96+,92-
