plasmid_0;15+,55-,45-,56+,42+,57+,28+,60-,50+,37+
plasmid_1;6-,48-,3+,45-,56+,42+,51+,46+,60-,50+,65+,21+
plasmid_2;30-,54-,47+,7+,58-,55-,45-,56+,42+,51+,13-,63+,65-,50-,60+
plasmid_3;34-,65-,50-,62-,41+
plasmid_4;16+,49+,44+
plasmid_5;24+
plasmid_6;32+
plasmid_7;36+
plasmid_8;39+
plasmid_9;33+
plasmid_10;45-,66+,42+,57+,18+
plasmid_11;42+,51+
plasmid_12;45+
plasmid_13;47+,22+,53+,53+,1-
plasmid_14;53+
plasmid_15;27+,48+,9+,61-,50+,65+,64+
plasmid_16;26-,61-,50+,65+,64+
plasmid_17;4+,62+,50+,65+
plasmid_18;61-,50+,65+
