plasmid_0;51+,112-,90-,113+,86-,101-,26+
plasmid_1;72-,125-,92+,122+,42+,90-,113+,86-,120+,23+,129+,92+,131-,49+
plasmid_2;71+
plasmid_3;83+
plasmid_4;61+
plasmid_5;16+
plasmid_6;45+,128+,92-,129-,59-,101+,86+,139-,90+,112+
plasmid_7;115-,12-,120-,86+,139-,90+
plasmid_8;75-,92+,30+,136+,92+,18-
plasmid_9;17-,136+,92+,126-,9+,135-,92+,133+,15+
plasmid_10;27+,137+,94-,14-,91-,44-,136+,92+,39-,127+,92+,123+,10+
plasmid_11;6+,136+,92+,126-,38+
plasmid_12;11+,136+,92+,2-,108-,99+,102-
plasmid_13;47+,136+,92+,128-,1-
plasmid_14;79-,136+,92+,132+,85-
plasmid_15;60+,136+,92+,128-,3+
plasmid_16;130+,4-,91-,41+,124+,92+,130+,40+
plasmid_17;70+,129+,92+,128-,8+
plasmid_18;25-,94+,134+,93+,136+,92+
plasmid_19;58-,124+,92+
plasmid_20;36+,129+,92+
plasmid_21;135-,92+
plasmid_22;54+,136+,92+
plasmid_23;55+,103+,53+,74+
plasmid_24;104+,53+
plasmid_25;34+,94+,73-,116-,117-,116-,105-
plasmid_26;46+,94+,137-,88-
plasmid_27;37-,94+
plasmid_28;57+,94+
plasmid_29;78-,94+
