plasmid_0;126+
plasmid_1;278+,297+,286+,213+,231+,295-,236+,287+,262+,175-,234+,209+,264+,93+
plasmid_2;145+
plasmid_3;148+
plasmid_4;127-,223+,279+,110+
plasmid_5;86+
plasmid_6;47+,245+,255+,247-,226-,273-,241-,97-,169-,143+,301-,256+,216-,265+,222+,283-,267+,278+,284+,210-
plasmid_7;194+,244-,140+,21+,256+,216-,265+,222+,283-,243-,286+,253-,277-,227+
plasmid_8;96+
plasmid_9;118+
plasmid_10;158+,140-,221+
plasmid_11;251+,274-,293-,263-,265+,298+,282+,224-,243-,239+,300+,277-
plasmid_12;187-,271-,121+
plasmid_13;166+
plasmid_14;128+
plasmid_15;27+,274-,261+,296+,265+,298+,282+,212+,284+,252-,300+,277-
plasmid_16;66+,245+,254+,247-,281+,249-,290-,273-,240-
plasmid_17;117+
plasmid_18;217+,42+,204+,15+,207-
plasmid_19;63-,204+,177+
plasmid_20;82+,204+,131-
plasmid_21;257+,113+,257-,279-,223-,181-,204+
plasmid_22;204+
plasmid_23;223+,279+,257+
