plasmid_0;6-,50+,57+,12-,46-,61+,43-,20+
plasmid_1;46-,61+,43-
plasmid_2;16+,52+,63+,19+,52-,59-,35+,59+
plasmid_3;63+,40-,59+,52+,63+,47+,49+,39+
plasmid_4;34+,38+
plasmid_5;41+
plasmid_6;52-,59-,29-,49+,62+,30+,28+
plasmid_7;53+,21-,51-,7+,57-,50-,32-,49+,62+,33+
plasmid_8;53+,25-,50+,57+,18+
plasmid_9;53+
plasmid_10;59-,4-,50+,59+,52+
plasmid_11;51+,24+,50+,59+,52+
plasmid_12;36-,59+,52+
plasmid_13;1-,50+,59+,52+
plasmid_14;49+,62+
plasmid_15;55+,45-,50+,57+,8-
plasmid_16;55-,42-,50+,59+
plasmid_17;50+
